# q,iq
1.000000000000000000e+00,2.326164062500000000e+05
1.049999952316284180e+00,1.956141718750000000e+05
1.100000023841857910e+00,1.561117812500000000e+05
1.149999976158142090e+00,1.272977500000000000e+05
1.200000047683715820e+00,1.160238750000000000e+05
1.250000000000000000e+00,1.195001875000000000e+05
1.299999952316284180e+00,1.284555312500000000e+05
1.350000023841857910e+00,1.329978593750000000e+05
1.399999976158142090e+00,1.273726562500000000e+05
1.449999928474426270e+00,1.116954062500000000e+05
1.500000000000000000e+00,9.076312500000000000e+04
1.549999952316284180e+00,7.123739062500000000e+04
1.600000023841857910e+00,5.865484375000000000e+04
1.649999976158142090e+00,5.538193750000000000e+04
1.699999928474426270e+00,6.010932812500000000e+04
1.750000000000000000e+00,6.895125000000000000e+04
1.799999952316284180e+00,7.763084375000000000e+04
1.849999904632568359e+00,8.374668750000000000e+04
1.899999976158142090e+00,8.797565625000000000e+04
1.949999928474426270e+00,9.353637500000000000e+04
2.000000000000000000e+00,1.041437187500000000e+05
2.049999952316284180e+00,1.215882968750000000e+05
2.099999904632568359e+00,1.443879375000000000e+05
2.149999856948852539e+00,1.684017656250000000e+05
2.200000047683715820e+00,1.891928437500000000e+05
2.250000000000000000e+00,2.048699687500000000e+05
2.299999952316284180e+00,2.178129062500000000e+05
2.350000143051147461e+00,2.342366562500000000e+05
2.400000095367431641e+00,2.616791093750000000e+05
2.450000047683715820e+00,3.055327187500000000e+05
2.500000000000000000e+00,3.661653125000000000e+05
2.549999952316284180e+00,4.378378750000000000e+05
2.599999904632568359e+00,5.098113125000000000e+05
2.649999856948852539e+00,5.691655000000000000e+05
2.699999809265136719e+00,6.043353125000000000e+05
2.750000000000000000e+00,6.082555000000000000e+05
2.799999952316284180e+00,5.802352500000000000e+05
2.849999904632568359e+00,5.260891875000000000e+05
2.899999856948852539e+00,4.565096562500000000e+05
2.949999809265136719e+00,3.841445937500000000e+05
3.000000000000000000e+00,3.202413125000000000e+05
3.049999952316284180e+00,2.718952812500000000e+05
3.099999904632568359e+00,2.407787812500000000e+05
3.150000095367431641e+00,2.236953750000000000e+05
3.200000047683715820e+00,2.146128437500000000e+05
3.250000000000000000e+00,2.072642812500000000e+05
3.299999952316284180e+00,1.972858437500000000e+05
3.349999904632568359e+00,1.831925937500000000e+05
3.400000095367431641e+00,1.661008125000000000e+05
3.450000047683715820e+00,1.486352656250000000e+05
3.500000000000000000e+00,1.336533125000000000e+05
3.550000190734863281e+00,1.232727734375000000e+05
3.600000143051147461e+00,1.183617187500000000e+05
3.650000095367431641e+00,1.184267187500000000e+05
3.700000047683715820e+00,1.218062421875000000e+05
3.750000000000000000e+00,1.261466093750000000e+05
3.799999952316284180e+00,1.291675156250000000e+05
3.849999904632568359e+00,1.295611250000000000e+05
3.899999856948852539e+00,1.276540703125000000e+05
3.950000047683715820e+00,1.253946328125000000e+05
4.000000000000000000e+00,1.254696328125000000e+05
4.050000190734863281e+00,1.298655468750000000e+05
4.099999904632568359e+00,1.386303750000000000e+05
4.150000095367431641e+00,1.496609687500000000e+05
4.199999809265136719e+00,1.598339687500000000e+05
4.250000000000000000e+00,1.670007187500000000e+05
4.299999713897705078e+00,1.717023593750000000e+05
4.349999904632568359e+00,1.774484062500000000e+05
4.399999618530273438e+00,1.891087031250000000e+05
4.449999809265136719e+00,2.100657968750000000e+05
4.500000000000000000e+00,2.396205468750000000e+05
4.549999713897705078e+00,2.721868750000000000e+05
4.599999904632568359e+00,2.989638437500000000e+05
4.650000095367431641e+00,3.114506875000000000e+05
4.699999809265136719e+00,3.051414375000000000e+05
4.750000000000000000e+00,2.815565312500000000e+05
4.799999713897705078e+00,2.476043906250000000e+05
4.849999904632568359e+00,2.126216718750000000e+05
4.900000095367431641e+00,1.846083437500000000e+05
4.949999809265136719e+00,1.674801250000000000e+05
5.000000000000000000e+00,1.605253593750000000e+05
5.050000190734863281e+00,1.600235312500000000e+05
5.099999904632568359e+00,1.618858750000000000e+05
5.150000095367431641e+00,1.637943906250000000e+05
5.199999809265136719e+00,1.657839843750000000e+05
5.250000000000000000e+00,1.692132343750000000e+05
5.300000190734863281e+00,1.749909375000000000e+05
5.349999904632568359e+00,1.822658906250000000e+05
5.400000095367431641e+00,1.883988281250000000e+05
5.450000286102294922e+00,1.902042343750000000e+05
5.500000000000000000e+00,1.856885468750000000e+05
5.550000190734863281e+00,1.752348750000000000e+05
5.599999904632568359e+00,1.615434062500000000e+05
5.650000095367431641e+00,1.483643437500000000e+05
5.700000286102294922e+00,1.387409687500000000e+05
5.750000000000000000e+00,1.337142656250000000e+05
5.800000190734863281e+00,1.321432343750000000e+05
5.850000381469726562e+00,1.316429375000000000e+05
5.900000095367431641e+00,1.300393671875000000e+05
5.950000286102294922e+00,1.265047890625000000e+05
6.000000000000000000e+00,1.217922656250000000e+05
6.050000190734863281e+00,1.175404843750000000e+05
6.100000381469726562e+00,1.151513046875000000e+05
6.150000095367431641e+00,1.149412031250000000e+05
6.199999809265136719e+00,1.160487734375000000e+05
6.250000000000000000e+00,1.170866250000000000e+05
6.299999713897705078e+00,1.170776796875000000e+05
6.349999904632568359e+00,1.160658671875000000e+05
6.399999618530273438e+00,1.150176562500000000e+05
6.449999809265136719e+00,1.150946484375000000e+05
6.500000000000000000e+00,1.167711796875000000e+05
6.549999713897705078e+00,1.193734218750000000e+05
6.599999904632568359e+00,1.213600937500000000e+05
6.650000095367431641e+00,1.212094062500000000e+05
6.699999809265136719e+00,1.184024296875000000e+05
6.750000000000000000e+00,1.139172968750000000e+05
6.799999713897705078e+00,1.099127109375000000e+05
6.849999904632568359e+00,1.087344296875000000e+05
6.900000095367431641e+00,1.117496718750000000e+05
6.949999809265136719e+00,1.186046093750000000e+05
7.000000000000000000e+00,1.272728750000000000e+05
7.050000190734863281e+00,1.348491562500000000e+05
7.099999904632568359e+00,1.386925000000000000e+05
7.150000095367431641e+00,1.373906875000000000e+05
7.199999809265136719e+00,1.311617500000000000e+05
7.250000000000000000e+00,1.216072968750000000e+05
7.300000190734863281e+00,1.110163437500000000e+05
7.349999904632568359e+00,1.015570781250000000e+05
7.400000095367431641e+00,9.465830468750000000e+04
7.450000286102294922e+00,9.074518750000000000e+04
7.500000000000000000e+00,8.934229687500000000e+04
7.550000190734863281e+00,8.945365625000000000e+04
7.599999904632568359e+00,9.008514843750000000e+04
7.650000095367431641e+00,9.074730468750000000e+04
7.700000286102294922e+00,9.175885937500000000e+04
7.750000000000000000e+00,9.419781250000000000e+04
7.800000190734863281e+00,9.943652343750000000e+04
7.850000381469726562e+00,1.083747968750000000e+05
7.900000095367431641e+00,1.206733750000000000e+05
7.950000286102294922e+00,1.343869375000000000e+05
8.000000000000000000e+00,1.462858750000000000e+05
8.050000190734863281e+00,1.528743593750000000e+05
8.100000381469726562e+00,1.517421093750000000e+05
8.150000572204589844e+00,1.426570312500000000e+05
8.199999809265136719e+00,1.278436640625000000e+05
8.250000000000000000e+00,1.112404765625000000e+05
8.300000190734863281e+00,9.701228906250000000e+04
8.349999427795410156e+00,8.797434375000000000e+04
8.399999618530273438e+00,8.464846093750000000e+04
8.449999809265136719e+00,8.536867187500000000e+04
8.500000000000000000e+00,8.732827343750000000e+04
8.550000190734863281e+00,8.800717968750000000e+04
8.600000381469726562e+00,8.625768750000000000e+04
8.650000572204589844e+00,8.255323437500000000e+04
8.700000762939453125e+00,7.838185156250000000e+04
8.750000000000000000e+00,7.521690625000000000e+04
8.800000190734863281e+00,7.368604687500000000e+04
8.850000381469726562e+00,7.338231250000000000e+04
8.900000572204589844e+00,7.334828906250000000e+04
8.950000762939453125e+00,7.286131250000000000e+04
9.000000000000000000e+00,7.199032812500000000e+04
9.050000190734863281e+00,7.156296093750000000e+04
9.100000381469726562e+00,7.257170312500000000e+04
9.149999618530273438e+00,7.540250781250000000e+04
9.199999809265136719e+00,7.938914843750000000e+04
9.250000000000000000e+00,8.300708593750000000e+04
9.300000190734863281e+00,8.463260937500000000e+04
9.350000381469726562e+00,8.344857812500000000e+04
9.399999618530273438e+00,7.997651562500000000e+04
9.449999809265136719e+00,7.591203906250000000e+04
9.500000000000000000e+00,7.332888281250000000e+04
9.549999237060546875e+00,7.366189062500000000e+04
9.599999427795410156e+00,7.699957031250000000e+04
9.649999618530273438e+00,8.204108593750000000e+04
9.699999809265136719e+00,8.671970312500000000e+04
9.750000000000000000e+00,8.915689062500000000e+04
9.800000190734863281e+00,8.846835937500000000e+04
9.850000381469726562e+00,8.506063281250000000e+04
9.900000572204589844e+00,8.033771875000000000e+04
9.949999809265136719e+00,7.602680468750000000e+04
1.000000000000000000e+01,7.347615625000000000e+04
1.005000019073486328e+01,7.322928906250000000e+04
1.010000038146972656e+01,7.499325781250000000e+04
1.015000057220458984e+01,7.791717187500000000e+04
1.019999980926513672e+01,8.098658593750000000e+04
1.025000000000000000e+01,8.335115625000000000e+04
1.030000019073486328e+01,8.449167187500000000e+04
1.034999942779541016e+01,8.424196875000000000e+04
1.039999961853027344e+01,8.272400781250000000e+04
1.044999980926513672e+01,8.025400000000000000e+04
1.050000000000000000e+01,7.724132031250000000e+04
1.055000019073486328e+01,7.408177343750000000e+04
1.060000038146972656e+01,7.105377343750000000e+04
1.065000057220458984e+01,6.824695312500000000e+04
1.070000076293945312e+01,6.556228125000000000e+04
1.075000000000000000e+01,6.279737109375000000e+04
1.080000019073486328e+01,5.978691015625000000e+04
1.085000038146972656e+01,5.653667968750000000e+04
1.090000057220458984e+01,5.327813281250000000e+04
1.095000076293945312e+01,5.041516406250000000e+04
1.100000000000000000e+01,4.837934375000000000e+04
1.105000019073486328e+01,4.745717578125000000e+04
1.110000038146972656e+01,4.766141406250000000e+04
1.114999961853027344e+01,4.869897265625000000e+04
1.119999980926513672e+01,5.005078515625000000e+04
1.125000000000000000e+01,5.114050000000000000e+04
1.130000019073486328e+01,5.153908593750000000e+04
1.135000038146972656e+01,5.113736328125000000e+04
1.139999961853027344e+01,5.021581640625000000e+04
1.144999980926513672e+01,4.936362109375000000e+04
1.150000000000000000e+01,4.924833203125000000e+04
1.154999923706054688e+01,5.030455859375000000e+04
1.159999942779541016e+01,5.247194531250000000e+04
1.164999961853027344e+01,5.512152343750000000e+04
1.169999980926513672e+01,5.725215234375000000e+04
1.175000000000000000e+01,5.791473046875000000e+04
1.180000019073486328e+01,5.669446875000000000e+04
1.185000038146972656e+01,5.401778515625000000e+04
1.190000057220458984e+01,5.110132421875000000e+04
1.194999980926513672e+01,4.951645312500000000e+04
1.200000000000000000e+01,5.053570703125000000e+04
1.205000019073486328e+01,5.455006250000000000e+04
1.210000038146972656e+01,6.083458984375000000e+04
1.215000057220458984e+01,6.778349218750000000e+04
1.219999980926513672e+01,7.351665625000000000e+04
1.225000000000000000e+01,7.658356250000000000e+04
1.230000019073486328e+01,7.645294531250000000e+04
1.234999942779541016e+01,7.359236718750000000e+04
1.239999961853027344e+01,6.914139843750000000e+04
1.244999980926513672e+01,6.437114843750000000e+04
1.250000000000000000e+01,6.019669921875000000e+04
1.255000019073486328e+01,5.694877343750000000e+04
1.260000038146972656e+01,5.445692968750000000e+04
1.265000057220458984e+01,5.233989843750000000e+04
1.270000076293945312e+01,5.031331640625000000e+04
1.275000000000000000e+01,4.835122656250000000e+04
1.280000019073486328e+01,4.664116015625000000e+04
1.285000038146972656e+01,4.539481250000000000e+04
1.290000057220458984e+01,4.464692187500000000e+04
1.295000076293945312e+01,4.417046093750000000e+04
1.300000000000000000e+01,4.355927734375000000e+04
1.305000019073486328e+01,4.243313281250000000e+04
1.310000038146972656e+01,4.065131640625000000e+04
